level,id,totalCount,verifiedCount,medoidId,proteinG_numericCount,proteinG_nullCount,proteinG_mean,proteinG_median,proteinG_p25,proteinG_p75,proteinG_min,proteinG_max,proteinG_stddev,proteinG_mad,carbsG_numericCount,carbsG_nullCount,carbsG_mean,carbsG_median,carbsG_p25,carbsG_p75,carbsG_min,carbsG_max,carbsG_stddev,carbsG_mad,fiberG_numericCount,fiberG_nullCount,fiberG_mean,fiberG_median,fiberG_p25,fiberG_p75,fiberG_min,fiberG_max,fiberG_stddev,fiberG_mad,fatG_numericCount,fatG_nullCount,fatG_mean,fatG_median,fatG_p25,fatG_p75,fatG_min,fatG_max,fatG_stddev,fatG_mad,declaredKcal_numericCount,declaredKcal_nullCount,declaredKcal_mean,declaredKcal_median,declaredKcal_p25,declaredKcal_p75,declaredKcal_min,declaredKcal_max,declaredKcal_stddev,declaredKcal_mad
calculationGroup,dairy,29,29,produits-laitiers-natrel-plus-2,29,0,8.13448275862069,8.5,5.8,10.9,0.4,15.5,4.089470439177473,2.6999999999999993,28,1,7.460714285714287,5.6,3.7249999999999996,11.225,1,26.9,5.615872959792546,2.1999999999999997,28,1,0.19642857142857142,0,0,0,0,1.5,0.43757085594021683,0,28,1,2.5785714285714287,2.25,1.45,2.9499999999999997,0.1,8,2.1292247142088794,0.85,29,0,84.89655172413794,80,64,101,37,152,30.026589202127184,20
calculationGroup,fat,51,51,noix-graines-walnuts,51,0,1.42156862745098,1.3,0.2,2.25,0,5.9,1.2770769319802462,1,51,0,1.6058823529411765,1.5,0.5,2.2,0,5.2,1.368563007640625,0.8999999999999999,51,0,0.6411764705882355,0.7,0,0.9,0,3.8,0.7127907043693081,0.40000000000000013,51,0,5.4784313725490215,5.3,4.85,6.1,3,9.1,1.2154527922531908,0.7000000000000002,51,0,58.588235294117645,58,52,63,33,91,10.056195047011045,5
calculationGroup,fruit,33,33,fruits-cherries-with-pits,33,0,0.9606060606060606,0.9,0.5,1.2,0,2.9,0.6143794602785165,0.4,33,0,14.999999999999998,15,14.6,15.5,12,18,1.1618950038622249,0.5,32,1,2.2843749999999994,2.05,1.0750000000000002,2.8249999999999997,0.3,8.5,1.8302316749174048,0.8999999999999999,33,0,0.29090909090909084,0.2,0.1,0.4,0,0.9,0.21703058016618926,0.1,33,0,60.36363636363637,60,57,63,51,70,4.942280482088847,3
calculationGroup,protein,103,103,poissons-fruits-mer-turbot,103,0,9.189320388349516,9.2,7.95,10.6,2.3,15,2.1691650431860268,1.4000000000000004,103,0,1.1679611650485437,0,0,1.85,0,12,2.13009313946381,0,101,2,0.2693069306930693,0,0,0,0,7.5,0.9434768226360865,0,103,0,2.266019417475728,1.7,0.7,3.55,0,7.8,1.9418786839420934,1.2,103,0,62.36893203883495,57,49,74,27,134,19.98135910275813,12
calculationGroup,starch,35,35,feculents-cooked-millet,35,0,3.554285714285714,2.8,2.3,4.45,1,9,2.0681538879400834,1.0999999999999999,35,0,18.57428571428571,17.7,15.6,21.950000000000003,11.3,28.6,4.171777929424931,2.6999999999999993,34,1,2.220588235294117,2,1.4,2.75,0.6,7,1.3295657554401796,0.65,35,0,1.0914285714285714,0.6,0.45,1.4,0,7.3,1.303247398429249,0.39999999999999997,35,0,97.2,91,73,117.5,56,164,27.156193097144744,21
calculationGroup,vegetable,36,36,legumes-tomato-6-6-cm-in-diameter,36,0,1.4555555555555557,1.1,0.775,2.1,0.3,4.6,1.0404516723710342,0.40000000000000013,36,0,5.513888888888888,4.9,3.85,6.25,1,14.3,2.9304463607129674,1.2000000000000002,36,0,1.5972222222222223,1.5,0.9,2,0.3,4.7,0.9616908060022231,0.55,36,0,0.2694444444444444,0.2,0.1,0.325,0,1.1,0.2470621025970648,0.1,36,0,26.27777777777778,22,17.75,30.5,6,64,13.464474126086895,6
calculationGroup,whey,0,0,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,
