level,id,totalCount,verifiedCount,medoidId,proteinG_numericCount,proteinG_nullCount,proteinG_mean,proteinG_median,proteinG_p25,proteinG_p75,proteinG_min,proteinG_max,proteinG_stddev,proteinG_mad,carbsG_numericCount,carbsG_nullCount,carbsG_mean,carbsG_median,carbsG_p25,carbsG_p75,carbsG_min,carbsG_max,carbsG_stddev,carbsG_mad,fiberG_numericCount,fiberG_nullCount,fiberG_mean,fiberG_median,fiberG_p25,fiberG_p75,fiberG_min,fiberG_max,fiberG_stddev,fiberG_mad,fatG_numericCount,fatG_nullCount,fatG_mean,fatG_median,fatG_p25,fatG_p75,fatG_min,fatG_max,fatG_stddev,fatG_mad,declaredKcal_numericCount,declaredKcal_nullCount,declaredKcal_mean,declaredKcal_median,declaredKcal_p25,declaredKcal_p75,declaredKcal_min,declaredKcal_max,declaredKcal_stddev,declaredKcal_mad
exchangeProfileId,fat-coconut,1,1,noix-graines-shredded-coconut,1,0,0.3,0.3,0.3,0.3,0.3,0.3,,0,1,0,1.2,1.2,1.2,1.2,1.2,1.2,,0,1,0,0.8,0.8,0.8,0.8,0.8,0.8,,0,1,0,3.2,3.2,3.2,3.2,3.2,3.2,,0,1,0,33,33,33,33,33,33,,0
exchangeProfileId,fat-dressing,1,1,matieres-grasses-vegetable-oil-based-vinaigrette,1,0,0,0,0,0,0,0,,0,1,0,0.3,0.3,0.3,0.3,0.3,0.3,,0,1,0,0,0,0,0,0,0,,0,1,0,5.3,5.3,5.3,5.3,5.3,5.3,,0,1,0,48,48,48,48,48,48,,0
exchangeProfileId,fat-egg,2,2,matieres-grasses-whole-egg,2,0,4.3,4.3,3.5,5.1,2.7,5.9,2.2627,1.6,2,0,0.75,0.75,0.675,0.825,0.6,0.9,0.2121,0.15,2,0,0,0,0,0,0,0,0,0,2,0,5.3,5.3,5.15,5.45,5,5.6,0.4243,0.3,2,0,65.5,65.5,62.75,68.25,60,71,7.7782,5.5
exchangeProfileId,fat-fish-oil,1,1,matieres-grasses-fish-oil,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,6.9,6.9,6.9,6.9,6.9,6.9,,0,1,0,62,62,62,62,62,62,,0
exchangeProfileId,fat-legume-spread,1,1,noix-graines-hummus,1,0,2.4,2.4,2.4,2.4,2.4,2.4,,0,1,0,4.7,4.7,4.7,4.7,4.7,4.7,,0,1,0,1.7,1.7,1.7,1.7,1.7,1.7,,0,1,0,5.5,5.5,5.5,5.5,5.5,5.5,,0,1,0,73,73,73,73,73,73,,0
exchangeProfileId,fat-mayonnaise,2,2,matieres-grasses-mayonnaise,2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,2,0,0.95,0.95,0.475,1.425,0,1.9,1.3435,0.95,2,0,0,0,0,0,0,0,0,0,2,0,4.95,4.95,4.825,5.075,4.7,5.2,0.3536,0.25,2,0,49,49,48.5,49.5,48,50,1.4142,1
exchangeProfileId,fat-mct-oil,1,1,matieres-grasses-mct-oil,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,0,1,0,7,7,7,7,7,7,,0,1,0,65,65,65,65,65,65,,0
exchangeProfileId,fat-mixed-nuts,1,1,noix-graines-mixed-nuts-dry-roasted-unsalted,1,0,2.9,2.9,2.9,2.9,2.9,2.9,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,1,1,1,1,1,1,,0,1,0,8,8,8,8,8,8,,0,1,0,91,91,91,91,91,91,,0
exchangeProfileId,fat-nut-butter,3,3,noix-graines-peanut-almond-butter,3,0,2.2333,2.3,2.1,2.4,1.9,2.5,0.3055,0.2,3,0,2.4667,2.3,2.2,2.65,2.1,3,0.4726,0.2,3,0,0.7,0.8,0.5,0.95,0.2,1.1,0.4583,0.3,3,0,5.5667,5.4,5.3,5.75,5.2,6.1,0.4726,0.2,3,0,64.6667,65,63,66.5,61,68,3.5119,3
exchangeProfileId,fat-nut-seed,13,13,noix-graines-peanuts-dry-roasted-unsalted,13,0,1.5846,1.8,1.2,1.9,0.7,2.6,0.6243,0.6,13,0,1.7923,1.7,1.2,2.1,1,3.6,0.7421,0.5,13,0,0.7846,0.8,0.8,0.9,0.3,1.2,0.2577,0.1,13,0,5.6846,5.3,4.9,6.2,4.1,9.1,1.4253,0.9,13,0,60.3077,57,52,66,49,86,10.7346,6
